plasmid	contig	contig_len

GT_2	36	24528
GT_2	37	23531
GT_2	39	22864
GT_2	45	17611
GT_2	53	10777
GT_2	55	8648
GT_2	56	8348
GT_2	69	3794
GT_2	81	1954
GT_2	82	1791
GT_2	83	1689
GT_2	111	695
GT_2	116	616
GT_2	182	255
GT_2	195	223
GT_2	203	213
GT_2	233	157
GT_2	235	155
GT_2	248	138
GT_2	289	103
GT_2	302	91
GT_2	303	91
GT_2	310	80
GT_2	312	80
GT_2	314	76
GT_2	318	74
GT_2	328	61
GT_2	341	48
GT_2	350	35
GT_2	351	35

GT_3	20	80577
GT_3	48	15522
GT_3	51	12238
GT_3	62	6154
GT_3	83	1689
GT_3	182	255
GT_3	207	204
GT_3	233	157
GT_3	235	155
GT_3	239	146
GT_3	248	138
GT_3	289	103
GT_3	303	91
GT_3	308	81
GT_3	309	80
GT_3	311	80
GT_3	312	80
GT_3	314	76
GT_3	317	74
GT_3	328	61
GT_3	341	48
GT_3	350	35
GT_3	351	35

GT_4	21	80456
GT_4	34	30095
GT_4	81	1954
GT_4	282	110

GT_5	59	6647

GT_6	65	5463

GT_7	70	3651
GT_7	188	238

GT_8	72	3373

GT_9	84	1506

