contig	chromosome	plasmid
1	1	0
2	1	0
3	0	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	0	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	0	0
23	1	0
24	1	0
25	1	0
26	1	0
27	1	0
28	1	0
29	0	0
30	0	0
31	1	0
32	1	0
33	0	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	0	0
42	1	0
43	1	0
44	0	0
45	0	0
46	0	0
47	1	0
48	1	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	1	0
56	1	0
57	1	0
58	0	1
59	1	0
60	0	0
61	1	0
62	1	0
63	1	0
64	0	1
65	0	0
66	0	0
67	0	0
68	0	0
69	1	0
70	0	1
71	0	0
72	0	1
73	1	0
74	0	0
75	0	1
76	0	0
77	0	0
78	0	0
79	0	0
80	0	1
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	1
92	0	0
93	0	0
94	0	0
95	0	1
96	0	0
97	0	0
98	0	0
99	0	0
100	0	1
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
141	0	0
143	0	0
144	0	0
147	0	0
148	0	0
149	0	0
154	0	0
155	0	0
162	0	0
163	0	0
164	0	0
165	0	0
167	0	0
169	0	0
172	0	0
177	0	0
178	0	0
181	0	0
182	0	0
183	0	0
185	0	0
186	0	0
187	0	0
190	0	0
191	0	0
192	0	0
194	0	0
196	0	0
197	0	0
198	0	0
199	0	0
201	0	0
202	0	0
205	0	0
206	0	0
208	0	0
209	0	0
213	0	0
214	0	0
215	0	0
217	0	0
218	0	0
221	0	0
222	0	0
224	0	0
226	0	0
232	0	0
233	0	0
234	0	0
237	0	0
238	0	0
240	0	0
242	0	0
244	0	0
245	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
262	0	0
266	0	0
271	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
281	0	0
285	0	0
286	0	0
287	0	0
292	0	0
293	0	0
295	0	0
296	0	0
298	0	0
299	0	0
305	0	0
306	0	0
309	0	0
310	0	0
313	0	0
314	0	0
315	0	0
317	0	0
320	0	0
321	0	0
322	0	0
325	0	0
