contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.0022594046	0.9987693	0	1	0.0	1.0	0.0192740993097111	0.980725900690289	406898
2	0	1	0.0013991739	0.9992727	0	1	0.0	1.0	0.0332775476059515	0.966722452394049	373335
3	0	1	0.0019106469	0.99896663	0	1	0.0	1.0	0.019493856878301	0.980506143121699	339377
4	0	1	0.010916078	0.9938788	0	1	0.0	1.0	0.0263006947374916	0.973699305262508	294343
5	0	1	0.0024825197	0.99870056	0	1	0.0	1.0	0.0375241261449635	0.962475873855037	284584
6	0	1	0.0024212932	0.99874336	0	1	0.0	1.0	0.0127728774368249	0.987227122563175	255718
7	0	1	0.0024172368	0.9987569	0	1	0.0	1.0	0.018840690628093	0.981159309371907	249893
8	0	1	0.0027145934	0.99852675	0	1	0.0	1.0	0.026796931669605	0.973203068330395	241974
9	0	1	0.0026643476	0.9985986	0	1	0.0	1.0	0.0273102159784485	0.972689784021551	234315
10	0	1	0.004161399	0.9977709	0	1	0.0	1.0	0.030405377781681	0.969594622218319	190257
11	0	1	0.004777742	0.99731576	0	1	0.0	1.0	0.0268982152599521	0.973101784740048	181038
12	0	1	0.004330362	0.99764085	0	1	0.0	1.0	0.0174059162821488	0.982594083717851	164288
13	0	1	0.018310802	0.9894476	0	1	0.0	1.0	0.018182064150544	0.981817935849456	162897
14	0	1	0.008189175	0.99550295	0	1	0.0	1.0	0.0352115266360085	0.964788473363992	110233
15	0	1	0.0037653176	0.9979267	0	1	0.0	1.0	0.0150505472605198	0.98494945273948	107664
16	0	1	0.009965449	0.9942426	0	1	0.003	0.997	0.0934347375661602	0.90656526243384	99260
17	0	1	0.42460427	0.71728075	1	0	0.869	0.131	0.715171991737554	0.284828008262446	93762
18	0	1	0.006992281	0.9961865	0	1	0.0	1.0	0.0754782151349536	0.924521784865046	90894
