contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0012362851	0.99934745	0	1	0.0	1.0	0.0179681031361192	0.982031896863881	628097	1.0	0.5111981111197793
2	0	1	0.002485561	0.9987184	0	1	0.0	1.0	0.0247663346742037	0.975233665325796	375823	1.0083723691018514	0.515205296110137
3	0	1	0.0056920773	0.99656045	0	1	0.0	1.0	0.0217857237024069	0.978214276297593	279739	0.9966510061295704	0.5098180804249676
4	0	1	0.0066045304	0.9963763	0	1	0.0	1.0	0.0318758629286084	0.968124137071392	244343	0.9373378351914922	0.4910842545110766
5	0	1	0.017299311	0.98941	0	1	0.0	1.0	0.0269053223362372	0.973094677663763	214351	1.0274752640511036	0.5194890623323427
6	0	1	0.013633303	0.9924284	0	1	0.0	1.0	0.0220638688321185	0.977936131167881	197388	1.011926426196661	0.5124070358887065
7	0	1	0.013473542	0.9920485	0	1	0.0	1.0	0.047468184489556	0.952531815510444	188868	0.9907581332916304	0.5026950039180803
8	0	1	0.0053770896	0.99680215	0	1	0.0	1.0	0.0339197041317464	0.966080295868254	181613	1.0248813926737197	0.5148860489061906
9	0	1	0.0075673754	0.99599004	0	1	0.0	1.0	0.0278837909554458	0.972116209044554	171192	0.9949097665364308	0.5049184541333707
10	0	1	0.0058845207	0.99643135	0	1	0.0	1.0	0.0272092979704767	0.972790702029523	157907	0.991833647860299	0.5122635475311418
11	0	1	0.008259843	0.9954795	0	1	0.0	1.0	0.01918851628064	0.98081148371936	148605	1.0146198465094296	0.5179502708522593
12	0	1	0.011213488	0.99375284	0	1	0.0	1.0	0.0237885691267443	0.976211430873256	144131	0.9575414697307624	0.5021265376636532
13	0	1	0.009309249	0.9944465	0	1	0.0	1.0	0.0116426253222234	0.988357374677777	130562	0.9656576608921746	0.5015241800830257
14	0	1	0.007237818	0.9960891	0	1	0.0	1.0	0.0451432586749381	0.954856741325062	129332	1.002130154684017	0.5077629666285219
15	0	1	0.0069301333	0.9962834	0	1	0.0	1.0	0.0341946858074352	0.965805314192565	111397	1.0334724673605336	0.5191791520417964
16	0	1	0.011738368	0.9932751	0	1	0.0	1.0	0.0319362654997988	0.968063734500201	105371	0.9640459349877808	0.4992170521300927
17	0	1	0.012236058	0.9931929	0	1	0.0	1.0	0.0163654406382604	0.98363455936174	97784	1.0159233625354591	0.516188742534566
18	0	1	0.009719873	0.9942022	0	1	0.0	1.0	0.0367468704391962	0.963253129560804	87476	1.0237028993076407	0.5191366774886826
19	0	1	0.0077374587	0.995605	0	1	0.003	0.997	0.0498116536639723	0.950188346336028	81750	0.9796037031777122	0.4981651376146789
20	0	1	0.011507811	0.99320567	0	1	0.0	1.0	0.0338574235909859	0.966142576409014	69943	0.985645940188631	0.508113749767668
21	0	1	0.020893538	0.98833245	0	1	0.0	1.0	0.0380674818448495	0.96193251815515	69530	1.026187322368575	0.5164677117790881
