contig	chromosome	plasmid
1	11.511112453364824	-1223.1458612609574
2	6.198675571102303	-819.1203602608433
3	2.59285930132401	-610.4287343730813
4	3.8386499098353433	-656.7766347218052
5	5.2950240997849765	-542.8280078376615
6	2.9662639895814102	-431.75216427665816
7	3.255011158800074	-362.6989030104221
8	2.5348330318992778	-392.0893435599564
9	2.9686412925660592	-389.0369204542959
10	3.0242546253469094	-255.37862549404284
11	0.8748036559378916	-190.8593102179162
12	0.8066133594626379	-216.65621896673804
13	1.9651500583287422	-242.81810270650712
14	3.0201929496606565	-273.1505170309134
15	1.4737979301367652	-213.73592851777622
16	0.4470930234246637	-198.5316491515593
17	1.8169492951686586	-160.20588741426835
18	0.4776664504912276	-141.0778583124042
19	1.9057584359370994	-163.76277761732882
20	0.43865026492768866	-92.57822611728203
21	0.21331828653145646	-118.2187426393148
22	1.2045239311378788	-125.33769872801605
23	-1.6568999554689183	-43.93582846667319
24	0.6460223823020668	-80.9816021168244
25	-0.06780512419552931	-40.28134816429338
26	1.427002495895227	-117.18429692742143
27	0.8843782590476144	-84.49773126925689
28	-0.7365640883791436	-13.708438710927092
29	-0.431691140940889	-58.25796739495593
30	-44.990357956571096	141.64544917446767
31	1.7151685442405382	-158.1219675109088
32	1.2531461494518066	-105.5516048133023
33	-5.347915876855893	15.119255286285135
34	0.2769006428636418	-35.62101554010765
35	1.0335346810486223	-79.68133207814921
36	-3.7591841701496413	-4.873071194974736
37	-0.3601084610605234	-61.58689181595898
38	-2.8225386119680946	-20.430804256103727
39	0.6684894813130979	-58.35794282161959
40	-2.039100624350583	8.244294742917454
41	-4.3624886872266595	17.66633686550879
42	0.09145682152070211	-14.927536857698946
43	-4.134025747510265	21.18393414675228
44	-0.1584663845255596	-0.8896261093868922
45	-1.125586234168324	-0.9589308144345461
46	0.3080295558054411	-25.892538941698305
47	0.5268401714214583	-38.97793198309643
48	-5.903143211053656	23.421755394092713
49	-0.08053782094215656	-4.475220229515378
50	-1.7124900704439767	-11.032993065889878
51	-3.8172818202219005	16.070393349624794
52	-0.29928809255264	1.8041247602751405
53	-0.25146840716759744	-11.523200169939834
54	-4.274612698895032	19.423687370843304
55	-1.2657459863181986	5.689328569972487
56	-2.480356444429444	13.475383234155245
57	0.1971656032405722	-11.76362514866565
58	-2.787660630893206	14.218470889561729
59	-2.1616703352595144	9.445335220109238
60	-0.7177419362228772	1.6705486588572338
61	0.05118154907819239	-3.1474227867932427
62	0.022574980353055274	-1.4666835065331272
63	-0.4183467294975589	-0.7972231307402806
64	0.08399554241328122	-4.797876429906257
65	0.13699164669087427	-11.171189813003352
66	-0.10555758458079634	1.8178251555394516
67	0.10179310857771462	-6.665334061503152
68	-0.4942303846396099	2.269740006191249
69	-1.0107957666139908	3.8563554572177265
70	-2.5809880219578227	12.561324423286276
71	0.024091401475797802	-1.5140148678016763
73	0.027807283267877736	-2.322387720290134
74	-1.0134546103866704	2.9197084466193814
75	-3.002563098434118	13.678673139208142
76	-1.88571778434879	11.106711168498164
77	0.2302397188076597	-15.936705664621273
78	0.023467480708765365	-1.4863463573527724
79	-0.512695972729686	1.9901624864592273
82	-0.11102563402892507	1.4727824937851448
83	0.025047558379190704	-1.667706820557985
84	-0.9121573172513511	5.073465297184165
85	-1.051852155409433	5.047488006979811
86	-0.48405322912224946	2.585817231093281
87	-1.7925815400517404	8.1962009478076
88	-0.9815039185452106	5.190040699332585
89	0.04280368167003257	-2.5562220660654056
90	-0.03659333566537448	0.7651711544188657
91	-0.03659333566537448	0.7651711544188657
92	0.038397545022762714	-2.1277795603604295
93	-1.0244271800718483	5.0252640166156946
94	-0.00027842894149010533	0.008865519711704906
95	-1.0244271800718483	5.0252640166156946
97	-0.6319779250643744	2.771635966795058
99	-0.02207590281340366	0.5296924712759781
104	-0.03452876049193776	0.5058024449404641
105	0.004075851555767507	-0.1399994839583023
106	0.004075851555767507	-0.1399994839583023
107	-0.05192639376367936	0.962637790870776
108	-0.2788567863924527	2.172949147150785
109	-0.8526671453663708	4.9868276845597
110	-0.47155221312021833	2.5669590284613584
113	0.027168316292323524	-2.128231705849176
114	0.027168316292323524	-2.128231705849176
115	0.05839251033709214	-6.310917778559418
117	-0.04391109572413576	0.8646617053540773
118	-0.04391109572413576	0.8646617053540773
119	-0.7521345055276871	2.8853456671353994
121	-0.025964992407086385	0.5987588514222946
122	-0.5099517054249922	2.623081670871227
123	-0.48405322912224946	2.585817231093281
125	-0.02583762594971084	0.5965750177226186
131	0.02794656765325776	-2.3702437414677693
134	-0.423096851451116	2.487828491756612
135	0.026810496632770686	-2.0340368953309182
138	0.038453862586141696	-2.1352704521874584
141	-0.5099517054249922	2.623081670871227
142	-0.47155221312021833	2.5669590284613584
144	0.022327324379288527	-1.2809338454619734
145	0.02794656765325776	-2.3702437414677693
147	-0.006086218450663594	0.17738448951674712
149	0.02794656765325776	-2.3702437414677693
150	0.02794656765325776	-2.3702437414677693
152	-0.6685693380049216	2.809141394750026
153	-0.6685693380049216	2.809141394750026
154	0.021827653989550555	-1.223775431622025
164	0.024024338591745575	-1.5040773967761822
165	0.02603580965563168	-1.856297990365535
168	-0.028519108035434115	0.6415181540398667
169	0.004075851555767507	-0.1399994839583023
170	0.024024338591745575	-1.5040773967761822
171	0.024024338591745575	-1.5040773967761822
174	0.024171769036215096	-1.5260563034949577
175	0.00044111946211700115	-0.03020021336712464
182	-0.5099517054249922	2.623081670871227
184	-0.0029226609127785963	0.08924764427178733
187	-0.26503607661258854	2.1338498809206756
