plasmid	contig	contig_len

GT_2	35	42509
GT_2	59	15113
GT_2	63	10303
GT_2	76	5428
GT_2	78	5328
GT_2	90	3155
GT_2	104	1719
GT_2	111	1341
GT_2	116	1165
GT_2	154	424
GT_2	168	363
GT_2	175	328
GT_2	179	314
GT_2	181	313
GT_2	182	312
GT_2	199	270
GT_2	204	259
GT_2	222	221
GT_2	228	207
GT_2	240	189
GT_2	244	182
GT_2	270	139
GT_2	289	127
GT_2	298	121
GT_2	300	116
GT_2	302	116
GT_2	309	101
GT_2	310	100
GT_2	334	63
GT_2	337	62
GT_2	338	62
GT_2	339	62
GT_2	340	62
GT_2	343	58
GT_2	353	46
GT_2	354	43
GT_2	355	42

GT_3	75	5569

GT_4	77	5386

GT_5	97	2235

GT_6	98	2089

