contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0016733049	0.99911785	0	1	0.0	1.0	0.0184530418773999	0.9815469581226	452112	0.9864523692673544	0.4960673461443182
2	0	1	0.0019872568	0.9989113	0	1	0.0	1.0	0.0226913217899452	0.977308678210055	385260	0.9847520969021776	0.5013004204952499
3	0	1	0.0018748154	0.9989891	0	1	0.0	1.0	0.0308099113159978	0.969190088684002	319987	1.0385224244315163	0.5104863635085175
4	0	1	0.010926677	0.99343336	0	1	0.0	1.0	0.0200523699034116	0.979947630096588	235320	1.0	0.5175165731769505
5	0	1	0.0032284781	0.9982724	0	1	0.0	1.0	0.026400086221481	0.973599913778519	218354	1.0055896522229253	0.5200408510950109
6	0	1	0.007413883	0.99589807	0	1	0.0	1.0	0.0247888138804179	0.975211186119582	213995	0.9834497354685188	0.5082081357041053
7	0	1	0.0052546877	0.9969934	0	1	0.005	0.995	0.0523916995971864	0.947608300402814	210586	1.049794305022834	0.5117956559315434
8	0	1	0.003265043	0.99819744	0	1	0.0	1.0	0.0153316848610693	0.984668315138931	208548	1.0299922390737986	0.5106929819513972
9	0	1	0.0047212956	0.99743366	0	1	0.0	1.0	0.0134601864586177	0.986539813541382	201671	1.0108714631692075	0.5009941935131972
10	0	1	0.020728303	0.9862136	0	1	0.0	1.0	0.0335507591119644	0.966449240888036	195584	0.9977018806980416	0.5074955006544503
11	0	1	0.0081220865	0.9954245	0	1	0.0	1.0	0.0231151713656554	0.976884828634345	183959	1.0013182185701224	0.5137014225996009
12	0	1	0.0029970552	0.99839526	0	1	0.0	1.0	0.0477511239619199	0.95224887603808	159046	1.0204871368628352	0.513008815059794
13	0	1	0.0033439058	0.998201	0	1	0.0	1.0	0.021343767944345	0.978656232055655	150989	0.9901595895923164	0.5158057871765492
14	0	1	0.003504946	0.9981079	0	1	0.0	1.0	0.0342600449620168	0.965739955037983	147615	1.0503886323271727	0.4999424177759712
15	0	1	0.0042993203	0.997671	0	1	0.0	1.0	0.0285670469203809	0.971432953079619	133907	1.0412233351604938	0.5055822324449057
16	0	1	0.0041158483	0.99776405	0	1	0.0	1.0	0.0643739600751525	0.935626039924847	108126	1.048566899728646	0.5060115050959066
17	0	1	0.0059910943	0.9967017	0	1	0.022	0.978	0.0267849681740339	0.973215031825966	100657	1.0414229032023754	0.5051908958144987
18	0	1	0.021054352	0.9878738	0	1	0.0	1.0	0.0363669896724726	0.963633010327527	96111	1.03473602536663	0.5069346900979076
19	0	1	0.0062614717	0.9965397	0	1	0.0	1.0	0.043999158236621	0.956000841763379	94778	1.0286008531757136	0.5154466226339446
20	0	1	0.022353198	0.9873769	0	1	0.0	1.0	0.0088418581530221	0.991158141846978	92486	1.008371468914827	0.5261553099928638
